repository,issue_number,issue_url,state,decision,decision_provenance
infiniflow/ragflow,1912,https://github.com/infiniflow/ragflow/issues/1912,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1936,https://github.com/infiniflow/ragflow/issues/1936,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1958,https://github.com/infiniflow/ragflow/issues/1958,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1968,https://github.com/infiniflow/ragflow/issues/1968,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,1975,https://github.com/infiniflow/ragflow/issues/1975,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,1995,https://github.com/infiniflow/ragflow/issues/1995,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2011,https://github.com/infiniflow/ragflow/issues/2011,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2032,https://github.com/infiniflow/ragflow/issues/2032,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2053,https://github.com/infiniflow/ragflow/issues/2053,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,2058,https://github.com/infiniflow/ragflow/issues/2058,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2072,https://github.com/infiniflow/ragflow/issues/2072,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2081,https://github.com/infiniflow/ragflow/issues/2081,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2085,https://github.com/infiniflow/ragflow/issues/2085,closed,Include,Present in released 654-issue dataset
infiniflow/ragflow,2117,https://github.com/infiniflow/ragflow/issues/2117,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2124,https://github.com/infiniflow/ragflow/issues/2124,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2172,https://github.com/infiniflow/ragflow/issues/2172,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2173,https://github.com/infiniflow/ragflow/issues/2173,closed,Exclude,Absent from final dataset; criterion-level exclusion reason was not retained
infiniflow/ragflow,2198,https://github.com/infiniflow/ragflow/issues/2198,closed,Include,Present in released 654-issue dataset
